Algoritmo,Total,Verificações,Caso,Tempo(s)
Sequencial,10000,1,Primeiro_Antes,0.000006
Sequencial,10000,5000,Meio_Antes,0.025515
Sequencial,10000,10000,Inexistente_Antes,0.061671
Binaria,10000,13,Primeiro_Antes,0.000118
Binaria,10000,1,Meio_Antes,0.000006
Binaria,10000,13,Inexistente_Antes,0.000092
Sequencial,10000,1,Primeiro_Depois,0.000006
Sequencial,10000,5000,Meio_Depois,0.027856
Sequencial,10000,10000,Inexistente_Depois,0.053701
Binaria,10000,13,Primeiro_Depois,0.000108
Binaria,10000,1,Meio_Depois,0.000007
Binaria,10000,13,Inexistente_Depois,0.000107
Sequencial,20000,1,Primeiro_Antes,0.000007
Sequencial,20000,10000,Meio_Antes,0.054060
Sequencial,20000,20000,Inexistente_Antes,0.120151
Binaria,20000,14,Primeiro_Antes,0.000104
Binaria,20000,1,Meio_Antes,0.000006
Binaria,20000,14,Inexistente_Antes,0.000102
Sequencial,20000,1,Primeiro_Depois,0.000005
Sequencial,20000,9997,Meio_Depois,0.074687
Sequencial,20000,20000,Inexistente_Depois,0.138365
Binaria,20000,14,Primeiro_Depois,0.000107
Binaria,20000,1,Meio_Depois,0.000006
Binaria,20000,14,Inexistente_Depois,0.000110
Sequencial,30000,1,Primeiro_Antes,0.000006
Sequencial,30000,332,Meio_Antes,0.001682
Sequencial,30000,30000,Inexistente_Antes,0.182451
Binaria,30000,15,Primeiro_Antes,0.000145
Binaria,30000,1,Meio_Antes,0.000007
Binaria,30000,14,Inexistente_Antes,0.000119
Sequencial,30000,1,Primeiro_Depois,0.000010
Sequencial,30000,14994,Meio_Depois,0.094531
Sequencial,30000,30000,Inexistente_Depois,0.202939
Binaria,30000,14,Primeiro_Depois,0.000128
Binaria,30000,1,Meio_Depois,0.000005
Binaria,30000,14,Inexistente_Depois,0.000108
Sequencial,50000,1,Primeiro_Antes,0.000006
Sequencial,50000,5750,Meio_Antes,0.047611
Sequencial,50000,50000,Inexistente_Antes,0.470365
Binaria,50000,15,Primeiro_Antes,0.000219
Binaria,50000,1,Meio_Antes,0.000011
Binaria,50000,15,Inexistente_Antes,0.000332
Sequencial,50000,1,Primeiro_Depois,0.000005
Sequencial,50000,24989,Meio_Depois,0.152556
Sequencial,50000,50000,Inexistente_Depois,0.420981
Binaria,50000,15,Primeiro_Depois,0.000120
Binaria,50000,1,Meio_Depois,0.000006
Binaria,50000,15,Inexistente_Depois,0.000110
