Algoritmo,Total,Comparacoes,Trocas,Tempo(s)
Insertion Sort,10000,24525573,9990,4.361774
Shell Sort,10000,285308,57087,0.226796
QuickSort Hoare,10000,196878,33157,0.022213
Merge Sort,10000,120490,120431,1.289837
Bubble Sort,10000,49995000,24515577,13.830824
Insertion Sort,20000,98875895,19990,14.774629
Shell Sort,20000,635916,122034,0.347850
QuickSort Hoare,20000,426636,73736,0.040054
Merge Sort,20000,260803,260878,5.086229
Bubble Sort,20000,199990000,98855901,56.234961
Insertion Sort,30000,223741029,29989,35.345483
Shell Sort,30000,920839,191805,0.479924
QuickSort Hoare,30000,686906,116747,0.061503
Merge Sort,30000,408524,408254,9.417042
Bubble Sort,30000,449985000,223711036,115.671641
Insertion Sort,50000,623285229,49989,102.571271
Shell Sort,50000,1750884,343170,0.876319
QuickSort Hoare,50000,1172538,210678,0.112691
Merge Sort,50000,718176,717712,21.153619
Bubble Sort,50000,1249975000,623235236,340.518183
